P001,Geometry,Cascade,longdress,black,3
P001,Geometry,Cascade,loot,black,5
P001,Geometry,Cascade,redandblack,black,4
P001,Geometry,Cascade,soldier,black,2
P001,Geometry,ConstantR0,longdress,black,1
P001,Geometry,ConstantR0,loot,black,4
P001,Geometry,ConstantR0,redandblack,black,3
P001,Geometry,ConstantR0,soldier,black,2
P001,Geometry,ConstantR1,longdress,black,2
P001,Geometry,ConstantR1,loot,black,4
P001,Geometry,ConstantR1,redandblack,black,4
P001,Geometry,ConstantR1,soldier,black,3
P001,Geometry,ConstantR2,longdress,black,2
P001,Geometry,ConstantR2,loot,black,4
P001,Geometry,ConstantR2,redandblack,black,4
P001,Geometry,ConstantR2,soldier,black,3
P001,Geometry,ConstantR3,longdress,black,4
P001,Geometry,ConstantR3,loot,black,5
P001,Geometry,ConstantR3,redandblack,black,5
P001,Geometry,ConstantR3,soldier,black,4
P001,Geometry,ConstantR4,longdress,black,4
P001,Geometry,ConstantR4,loot,black,5
P001,Geometry,ConstantR4,redandblack,black,4
P001,Geometry,ConstantR4,soldier,black,3
P001,Geometry,ConstantR5,longdress,black,3
P001,Geometry,ConstantR5,loot,black,5
P001,Geometry,ConstantR5,redandblack,black,5
P001,Geometry,ConstantR5,soldier,black,4
P001,Geometry,InverseCascade,longdress,black,2
P001,Geometry,InverseCascade,loot,black,4
P001,Geometry,InverseCascade,redandblack,black,3
P001,Geometry,InverseCascade,soldier,black,3
P001,Geometry,InverseSpikeR1,longdress,black,2
P001,Geometry,InverseSpikeR1,loot,black,4
P001,Geometry,InverseSpikeR1,redandblack,black,4
P001,Geometry,InverseSpikeR1,soldier,black,2
P001,Geometry,InverseSpikeR2,longdress,black,5
P001,Geometry,InverseSpikeR2,loot,black,5
P001,Geometry,InverseSpikeR2,redandblack,black,5
P001,Geometry,InverseSpikeR2,soldier,black,2
P001,Geometry,InverseSpikeR3,longdress,black,4
P001,Geometry,InverseSpikeR3,loot,black,4
P001,Geometry,InverseSpikeR3,redandblack,black,5
P001,Geometry,InverseSpikeR3,soldier,black,4
P001,Geometry,InverseSpikeR4,longdress,black,4
P001,Geometry,InverseSpikeR4,loot,black,5
P001,Geometry,InverseSpikeR4,redandblack,black,5
P001,Geometry,InverseSpikeR4,soldier,black,5
P001,Geometry,SpikeR1,longdress,black,3
P001,Geometry,SpikeR1,loot,black,4
P001,Geometry,SpikeR1,redandblack,black,5
P001,Geometry,SpikeR1,soldier,black,2
P001,Geometry,SpikeR2,longdress,black,3
P001,Geometry,SpikeR2,loot,black,5
P001,Geometry,SpikeR2,redandblack,black,5
P001,Geometry,SpikeR2,soldier,black,5
P001,Geometry,SpikeR3,longdress,black,4
P001,Geometry,SpikeR3,loot,black,4
P001,Geometry,SpikeR3,redandblack,black,5
P001,Geometry,SpikeR3,soldier,black,3
P001,Geometry,SpikeR4,longdress,black,5
P001,Geometry,SpikeR4,loot,black,5
P001,Geometry,SpikeR4,redandblack,black,5
P001,Geometry,SpikeR4,soldier,black,3
P002,Geometry,Cascade,longdress,grey,3
P002,Geometry,Cascade,loot,grey,4
P002,Geometry,Cascade,redandblack,grey,4
P002,Geometry,Cascade,soldier,grey,4
P002,Geometry,ConstantR0,longdress,grey,3
P002,Geometry,ConstantR0,loot,grey,4
P002,Geometry,ConstantR0,redandblack,grey,4
P002,Geometry,ConstantR0,soldier,grey,3
P002,Geometry,ConstantR1,longdress,grey,3
P002,Geometry,ConstantR1,loot,grey,4
P002,Geometry,ConstantR1,redandblack,grey,3
P002,Geometry,ConstantR1,soldier,grey,3
P002,Geometry,ConstantR2,longdress,grey,2
P002,Geometry,ConstantR2,loot,grey,4
P002,Geometry,ConstantR2,redandblack,grey,4
P002,Geometry,ConstantR2,soldier,grey,3
P002,Geometry,ConstantR3,longdress,grey,5
P002,Geometry,ConstantR3,loot,grey,4
P002,Geometry,ConstantR3,redandblack,grey,5
P002,Geometry,ConstantR3,soldier,grey,4
P002,Geometry,ConstantR4,longdress,grey,4
P002,Geometry,ConstantR4,loot,grey,5
P002,Geometry,ConstantR4,redandblack,grey,5
P002,Geometry,ConstantR4,soldier,grey,4
P002,Geometry,ConstantR5,longdress,grey,4
P002,Geometry,ConstantR5,loot,grey,5
P002,Geometry,ConstantR5,redandblack,grey,4
P002,Geometry,ConstantR5,soldier,grey,3
P002,Geometry,InverseCascade,longdress,grey,2
P002,Geometry,InverseCascade,loot,grey,4
P002,Geometry,InverseCascade,redandblack,grey,4
P002,Geometry,InverseCascade,soldier,grey,3
P002,Geometry,InverseSpikeR1,longdress,grey,5
